order_id,order_date,product_id,quantity_sold,unit_selling_price
SO00131,2023-09-29,P012,16,94.86
SO00132,2023-07-01,P091,4,858.59
SO00133,2023-12-12,P018,18,34.32
SO00134,2024-03-10,P048,6,110.62
SO00135,2023-02-03,P049,19,76.23
SO00136,2024-03-18,P045,4,58.34
SO00137,2023-11-11,P046,11,29.62
SO00138,2023-03-02,P060,14,158.13
SO00139,2023-01-28,P057,11,193.25
SO00140,2024-01-05,P088,18,124.42
SO00141,2023-09-15,P052,14,81.42
SO00142,2023-04-12,P014,10,552.71
SO00143,2023-07-25,P046,10,23.12
SO00144,2023-05-22,P064,19,188.23
SO00145,2023-07-23,P041,9,36.85
SO00146,2023-11-22,P016,19,788.25
SO00147,2024-12-16,P033,3,52.9
SO00148,2024-05-30,P043,15,59.41
SO00149,2024-04-15,P084,2,114.21
SO00150,2024-10-04,P062,24,55.43
SO00151,2024-09-11,P064,18,219.46
SO00152,2024-04-28,P052,10,79.69
SO00153,2024-05-21,P026,5,131.88
SO00154,2024-07-12,P065,15,165.55
SO00155,2023-07-12,P008,15,52.36
SO00156,2024-10-25,P015,26,28.99
SO00157,2024-07-18,P090,17,110.71
SO00158,2023-10-29,P028,1,24.97
SO00159,2024-01-21,P081,17,183.68
SO00160,2023-06-10,P012,13,104.12
SO00161,2023-04-06,P050,9,50.68
SO00162,2024-07-22,P035,13,525.11
SO00163,2024-08-22,P018,8,44.44
SO00164,2024-01-03,P022,8,148.41
SO00165,2024-11-27,P071,21,14.97
SO00166,2024-04-26,P058,10,57.53
SO00167,2024-01-04,P054,1,114.67
SO00168,2024-03-22,P044,17,69.85
SO00169,2024-02-04,P002,5,116.27
SO00170,2024-02-08,P003,6,220.71
SO00171,2023-03-03,P038,2,87.48
SO00172,2024-04-08,P095,4,104.41
SO00173,2024-07-17,P026,12,132.47
SO00174,2024-10-20,P045,9,61.21
SO00175,2024-01-28,P069,2,186.01
SO00176,2024-09-16,P086,13,897.47
SO00177,2023-03-28,P045,19,71.42
SO00178,2024-11-06,P058,11,90.36
SO00179,2024-04-10,P088,9,151.51
SO00180,2023-02-24,P093,3,161.42
SO00181,2024-07-07,P036,8,216.79
SO00182,2023-06-24,P087,9,231.6
SO00183,2023-09-22,P085,9,166.5
SO00184,2023-06-14,P006,13,155.39
SO00185,2024-07-20,P023,16,38.52
SO00186,2024-06-15,P085,18,268.9
SO00187,2023-10-24,P082,9,122.42
SO00188,2024-09-02,P026,6,127.19
SO00189,2023-04-14,P074,3,102.71
SO00190,2023-12-14,P041,7,52.49
SO00191,2023-12-10,P089,11,55.58
SO00192,2024-05-25,P050,1,40.16
SO00193,2023-12-22,P073,11,169.02
SO00194,2024-04-15,P057,19,164.86
SO00195,2024-07-30,P031,14,54.94
SO00196,2024-01-30,P086,18,995.48
SO00197,2023-02-27,P008,12,56.35
SO00198,2023-09-13,P024,12,88.03
SO00199,2024-02-25,P022,9,127.8
SO00200,2023-11-26,P021,1,94.12
SO00201,2023-08-29,P010,9,42.31
SO00202,2023-04-23,P030,13,111.11
SO00203,2023-11-02,P074,21,130.89
SO00204,2023-07-30,P082,7,134.55
SO00205,2023-04-22,P051,16,52.68
SO00206,2023-07-05,P011,12,177.26
SO00207,2024-03-10,P069,18,167.42
SO00208,2023-06-15,P029,8,995.4
SO00209,2024-06-18,P058,1,98.88
SO00210,2023-04-22,P062,18,68.69
SO00211,2024-02-05,P099,18,1121.69
SO00212,2024-03-15,P017,13,19.02
SO00213,2024-12-10,P047,2,50.29
SO00214,2023-03-07,P081,17,180.04
SO00215,2023-01-22,P029,14,724.78
SO00216,2023-09-09,P057,3,117.68
SO00217,2023-09-24,P037,15,46.37
SO00218,2024-04-26,P054,4,183.06
SO00219,2023-10-10,P045,9,68.4
SO00220,2024-06-17,P089,6,78.05
SO00221,2023-04-26,P077,1,113.63
SO00222,2023-02-12,P013,13,23.07
SO00223,2023-06-05,P040,18,586.41
SO00224,2024-10-25,P054,15,167.9
SO00225,2023-12-21,P060,25,132.73
SO00226,2024-06-01,P068,19,193.04
SO00227,2023-08-10,P085,16,204.04
SO00228,2024-11-10,P055,6,231.62
SO00229,2023-05-22,P059,19,108.43
SO00230,2024-07-13,P024,3,87.31
SO00231,2024-09-26,P050,13,54.63
SO00232,2024-06-18,P058,1,82.62
SO00233,2024-04-24,P074,3,106.1
SO00234,2023-10-30,P037,17,58.28
SO00235,2023-09-25,P098,8,402.59
SO00236,2024-07-31,P004,12,58.68
SO00237,2023-08-13,P069,6,194.68
SO00238,2024-06-02,P083,12,122.73
SO00239,2024-06-03,P088,8,164.16
SO00240,2023-08-25,P053,7,29.56
SO00241,2023-02-20,P022,19,176.53
SO00242,2023-08-27,P039,9,38.61
SO00243,2024-10-02,P035,3,345.98
SO00244,2024-05-26,P046,13,21.87
SO00245,2024-02-24,P066,5,163.33
SO00246,2024-02-15,P005,17,167.96
SO00247,2023-09-15,P096,8,191.08
SO00248,2023-01-21,P018,5,35.25
SO00249,2024-07-15,P032,8,86.25
SO00250,2023-01-01,P061,16,76.24
SO00251,2023-08-07,P015,14,38.47
SO00252,2024-04-20,P071,2,14.46
SO00253,2024-06-20,P007,14,1361.39
SO00254,2023-12-02,P077,4,170.51
SO00255,2024-10-26,P092,9,186.12
SO00256,2024-11-04,P079,17,21.52
SO00257,2023-05-15,P066,2,125.74
SO00258,2023-07-31,P029,4,807.48
SO00259,2023-04-05,P100,16,115.38
SO00260,2023-12-12,P037,7,76.08
SO00261,2024-05-08,P097,5,19.49
SO00262,2023-02-05,P016,1,1250.33
SO00263,2023-03-15,P013,1,19.94
SO00264,2024-11-08,P020,3,77.24
SO00265,2024-11-11,P021,1,143.38
SO00266,2024-10-01,P065,12,120.16
SO00267,2024-08-30,P003,5,176.73
SO00268,2024-01-16,P061,1,95.25
SO00269,2023-05-05,P060,15,161.34
SO00270,2023-02-14,P027,14,187.17
SO00271,2023-06-02,P006,8,193.26
SO00272,2024-12-02,P087,24,234.47
SO00273,2023-05-05,P043,11,75.36
SO00274,2024-01-06,P013,12,23.03
SO00275,2024-05-19,P071,8,11.83
SO00276,2023-05-01,P073,13,194.11
SO00277,2024-01-05,P074,6,137.25
SO00278,2023-06-05,P079,17,24.06
SO00279,2023-11-19,P032,1,82.34
SO00280,2023-10-18,P080,14,19.96
SO00281,2024-09-08,P064,7,157.76
SO00282,2023-05-12,P040,19,439.83
SO00283,2023-06-07,P057,11,172.03
SO00284,2023-04-18,P063,16,48.13
SO00285,2024-08-28,P016,5,1146.82
SO00286,2023-04-21,P047,9,59.53
SO00287,2024-12-25,P082,22,163.28
SO00288,2024-10-10,P078,21,210.25
SO00289,2023-06-15,P071,18,21.56
SO00290,2023-12-12,P087,6,265.05
SO00291,2024-03-27,P051,3,83.61
SO00292,2023-02-11,P035,8,397.87
SO00293,2023-05-22,P026,3,123.57
SO00294,2023-05-09,P067,7,41.24
SO00295,2023-01-30,P059,9,115.68
SO00296,2024-11-13,P050,7,62.97
SO00297,2024-05-15,P049,2,117.05
SO00298,2024-06-11,P011,15,214.6
SO00299,2024-12-18,P018,17,47.8
SO00300,2024-11-12,P031,5,41.71
SO00301,2024-10-13,P075,17,103.2
SO00302,2024-06-02,P009,7,183.71
SO00303,2023-06-30,P099,4,1222.52
SO00304,2024-09-11,P056,10,105.4
SO00305,2024-06-28,P029,13,750.11
SO00306,2024-05-11,P073,13,126.51
SO00307,2024-07-08,P043,5,86.23
SO00308,2024-11-26,P032,23,96.4
SO00309,2024-05-11,P096,2,246.25
SO00310,2023-08-25,P020,13,112.9
SO00311,2024-10-03,P041,7,50.68
SO00312,2024-04-18,P055,8,248.43
SO00313,2023-12-11,P063,8,63.4
SO00314,2023-05-02,P026,3,122.04
SO00315,2024-04-24,P065,10,124.89
SO00316,2023-10-06,P075,18,114.22
SO00317,2023-08-08,P042,11,196.0
SO00318,2024-11-14,P085,29,184.18
SO00319,2023-12-27,P020,27,106.59
SO00320,2024-06-20,P055,3,132.81
SO00321,2024-02-01,P009,4,111.7
SO00322,2024-11-06,P027,19,178.24
SO00323,2023-10-26,P055,32,256.72
SO00324,2024-04-17,P068,17,118.15
SO00325,2024-05-09,P051,6,87.03
SO00326,2024-12-28,P100,6,141.72
SO00327,2023-07-08,P028,7,26.43
SO00328,2024-12-05,P007,19,949.44
SO00329,2024-10-13,P093,21,132.84
SO00330,2023-12-12,P066,11,110.72
SO00331,2024-01-04,P015,11,31.46
SO00332,2023-10-25,P087,20,154.81
SO00333,2024-01-26,P063,9,62.83
SO00334,2024-04-19,P074,11,130.36
SO00335,2024-08-14,P001,15,97.42
SO00336,2023-10-22,P036,2,223.3
SO00337,2023-06-12,P076,11,119.83
SO00338,2024-04-15,P005,4,118.91
SO00339,2024-12-29,P083,1,100.1
SO00340,2023-10-27,P011,8,216.0
SO00341,2023-03-18,P092,14,147.34
SO00342,2023-11-07,P020,32,60.0
SO00343,2024-12-01,P067,31,33.27
SO00344,2023-06-12,P021,15,86.84
SO00345,2023-11-22,P042,19,252.36
SO00346,2023-05-31,P031,4,59.29
SO00347,2023-03-03,P077,10,177.19
SO00348,2024-02-09,P032,15,74.04
SO00349,2023-04-08,P070,15,139.02
SO00350,2023-07-26,P096,11,161.86
SO00351,2023-05-05,P085,10,250.46
SO00352,2023-07-06,P097,10,21.39
SO00353,2024-04-03,P066,18,176.96
SO00354,2024-04-22,P034,18,65.12
SO00355,2024-03-02,P034,4,40.68
SO00356,2024-08-31,P072,12,226.16
SO00357,2024-11-07,P048,1,120.1
SO00358,2024-07-19,P022,2,115.41
SO00359,2023-01-27,P030,12,157.63
SO00360,2023-04-25,P012,10,85.37
SO00361,2023-04-07,P010,19,59.09
SO00362,2023-01-21,P075,5,134.59
SO00363,2024-07-06,P005,11,130.1
SO00364,2024-10-07,P012,7,99.56
SO00365,2023-09-05,P019,3,207.54
SO00366,2024-05-10,P088,17,166.66
SO00367,2023-07-08,P055,1,234.91
SO00368,2023-06-14,P069,8,210.62
SO00369,2024-09-05,P076,13,134.18
SO00370,2024-05-08,P080,15,22.58
SO00371,2024-11-25,P052,5,84.08
SO00372,2023-03-21,P076,10,136.47
SO00373,2024-10-13,P086,22,695.22
SO00374,2024-01-26,P099,16,783.15
SO00375,2023-11-08,P010,21,59.89
SO00376,2023-09-22,P044,13,111.02
SO00377,2024-07-11,P056,10,128.85
SO00378,2024-03-12,P036,10,179.34
SO00379,2023-03-17,P067,19,40.39
SO00380,2024-02-03,P098,13,535.06
SO00381,2024-09-06,P021,10,101.14
SO00382,2024-06-09,P024,9,92.32
SO00383,2024-11-15,P088,7,102.67
SO00384,2023-08-19,P072,2,193.31
SO00385,2023-04-24,P030,11,132.22
SO00386,2024-02-02,P017,17,19.85
SO00387,2024-07-07,P014,18,547.99
SO00388,2023-05-26,P028,13,20.27
SO00389,2023-11-09,P039,17,55.27
SO00390,2023-03-09,P033,7,64.28
SO00391,2023-10-31,P029,35,1041.77
SO00392,2024-06-23,P063,16,59.74
SO00393,2023-09-25,P091,3,1209.07
SO00394,2024-04-14,P020,10,103.67
SO00395,2024-10-03,P091,3,1246.06
SO00396,2024-09-08,P080,11,18.66
SO00397,2023-02-04,P079,12,15.46
SO00398,2024-04-23,P005,18,125.93
SO00399,2023-07-29,P077,2,173.01
SO00400,2024-10-18,P063,14,58.73
SO00401,2024-02-11,P069,19,154.07
SO00402,2024-08-21,P003,3,136.44
SO00403,2023-07-14,P075,12,104.8
SO00404,2024-05-07,P034,1,53.18
SO00405,2024-04-18,P068,4,105.91
SO00406,2024-01-01,P077,16,181.68
SO00407,2024-05-23,P031,4,39.6
SO00408,2024-06-27,P032,11,75.64
SO00409,2024-10-06,P029,6,871.81
SO00410,2023-10-07,P023,23,21.52
SO00411,2024-06-02,P057,3,175.41
SO00412,2023-02-27,P095,10,125.95
SO00413,2024-10-13,P062,11,54.43
SO00414,2023-09-07,P019,8,173.87
SO00415,2023-03-31,P017,6,29.99
SO00416,2023-07-06,P002,8,131.22
SO00417,2024-04-04,P010,16,62.86
SO00418,2024-03-22,P021,6,167.57
SO00419,2024-01-22,P094,8,237.68
SO00420,2023-11-14,P098,33,282.29
SO00421,2024-03-28,P044,10,85.44
SO00422,2024-05-26,P028,7,36.3
SO00423,2023-08-07,P005,10,109.61
SO00424,2023-04-13,P044,16,98.09
SO00425,2024-03-22,P019,8,186.02
SO00426,2023-04-28,P100,14,110.18
SO00427,2024-05-13,P088,3,140.34
SO00428,2024-01-19,P073,18,190.58
SO00429,2023-06-15,P093,12,192.05
SO00430,2024-07-12,P094,13,160.17
SO00431,2023-10-25,P002,21,148.67
SO00432,2023-08-08,P034,14,66.64
SO00433,2023-12-25,P017,24,22.96
SO00434,2023-03-10,P020,11,68.3
SO00435,2023-10-06,P045,1,45.5
SO00436,2023-10-17,P089,19,67.08
SO00437,2024-05-19,P065,5,214.37
SO00438,2023-07-29,P027,1,130.26
SO00439,2023-11-11,P033,15,53.82
SO00440,2023-09-28,P056,15,209.0
SO00441,2023-06-26,P096,6,203.75
SO00442,2023-01-02,P071,2,21.06
SO00443,2024-08-21,P081,11,187.87
SO00444,2023-04-11,P043,1,82.05
SO00445,2023-05-16,P068,13,153.9
SO00446,2024-09-04,P050,15,48.89
SO00447,2024-07-24,P094,7,172.66
SO00448,2024-04-27,P099,1,793.68
SO00449,2023-08-21,P021,17,120.96
SO00450,2023-11-13,P058,5,77.06
SO00451,2023-07-13,P023,18,24.72
SO00452,2024-09-28,P038,6,142.04
SO00453,2024-04-22,P054,15,138.87
SO00454,2023-12-09,P099,6,1089.75
SO00455,2023-05-05,P100,9,114.78
SO00456,2023-08-07,P026,9,93.78
SO00457,2024-07-16,P004,13,61.51
SO00458,2023-10-24,P052,37,65.44
SO00459,2024-10-27,P088,17,128.31
SO00460,2024-03-01,P090,12,88.29
SO00461,2024-07-29,P009,12,137.45
SO00462,2023-07-18,P100,19,130.88
SO00463,2024-03-22,P060,14,193.43
SO00464,2023-03-25,P029,2,713.71
SO00465,2023-03-20,P100,7,126.49
SO00466,2024-06-02,P073,4,175.41
SO00467,2023-05-09,P007,2,877.13
SO00468,2023-12-13,P100,28,90.88
SO00469,2023-10-14,P091,21,1431.75
SO00470,2023-11-19,P060,3,152.42
SO00471,2024-03-10,P010,2,73.19
SO00472,2023-10-08,P055,22,249.36
SO00473,2023-04-12,P094,7,158.42
SO00474,2023-05-13,P030,15,177.52
SO00475,2024-03-27,P036,2,208.76
SO00476,2023-05-24,P096,9,241.85
SO00477,2024-02-24,P013,13,18.86
SO00478,2023-03-12,P047,4,87.66
SO00479,2023-04-13,P069,11,126.13
SO00480,2023-11-23,P017,4,25.13
SO00481,2024-07-07,P027,12,149.58
SO00482,2024-10-03,P010,35,58.84
SO00483,2024-04-19,P034,18,73.57
SO00484,2024-01-09,P025,10,121.8
SO00485,2023-03-30,P031,7,33.21
SO00486,2024-12-16,P028,28,35.84
SO00487,2023-07-04,P007,15,1311.27
SO00488,2024-04-18,P008,16,51.49
SO00489,2024-01-28,P083,18,166.32
SO00490,2023-05-13,P041,14,47.85
SO00491,2023-10-23,P095,3,115.87
SO00492,2024-10-31,P047,15,79.03
SO00493,2023-03-19,P022,12,111.48
SO00494,2023-02-26,P049,18,68.72
SO00495,2024-02-03,P064,8,159.93
SO00496,2023-11-29,P085,3,181.93
SO00497,2023-09-28,P076,18,210.33
SO00498,2023-10-04,P064,14,185.79
SO00499,2024-01-10,P075,2,97.23
SO00500,2023-02-23,P035,16,372.64
SO00501,2023-06-16,P043,10,89.32
SO00502,2024-09-23,P074,11,72.78
SO00503,2024-01-08,P008,19,78.14
SO00504,2024-11-22,P095,28,83.49
SO00505,2024-09-13,P017,10,17.43
SO00506,2024-07-11,P049,12,127.18
SO00507,2024-11-14,P029,25,793.63
SO00508,2023-07-04,P087,15,198.1
SO00509,2023-12-18,P053,7,27.32
SO00510,2023-02-14,P009,14,124.79
SO00511,2024-02-14,P071,16,18.22
SO00512,2023-02-17,P099,4,794.2
SO00513,2024-10-07,P060,12,139.16
SO00514,2024-07-06,P060,9,157.21
SO00515,2024-10-05,P004,5,73.0
SO00516,2024-04-10,P015,5,31.37
SO00517,2023-07-09,P096,13,192.33
SO00518,2023-11-13,P004,25,43.7
SO00519,2023-05-27,P097,10,29.76
SO00520,2023-04-28,P011,12,196.94
SO00521,2023-07-06,P038,1,143.17
SO00522,2024-07-31,P012,7,90.79
SO00523,2024-12-11,P056,15,166.6
SO00524,2024-12-01,P041,17,43.32
SO00525,2023-05-11,P095,15,125.59
SO00526,2023-08-22,P048,16,79.4
SO00527,2023-10-16,P071,9,13.88
SO00528,2023-02-26,P027,3,225.55
SO00529,2024-06-20,P051,16,87.71
SO00530,2023-02-27,P005,12,139.43
SO00531,2024-12-31,P007,9,841.47
SO00532,2024-05-17,P037,18,59.56
SO00533,2023-11-08,P078,11,190.44
SO00534,2023-10-24,P066,5,194.2
SO00535,2023-03-14,P060,13,141.71
SO00536,2023-02-15,P042,4,167.99
SO00537,2024-12-02,P100,26,95.8
SO00538,2024-02-15,P006,1,118.97
SO00539,2023-01-17,P053,9,26.8
SO00540,2023-12-23,P072,17,233.96
SO00541,2023-01-21,P037,12,67.24
SO00542,2023-02-15,P070,15,193.3
SO00543,2024-06-08,P045,17,69.2
SO00544,2024-06-20,P042,18,225.29
SO00545,2023-04-20,P065,19,198.43
SO00546,2024-02-13,P095,15,69.49
SO00547,2023-07-24,P019,13,222.89
SO00548,2024-08-17,P096,11,241.7
SO00549,2023-03-08,P008,15,66.42
SO00550,2024-03-04,P018,10,32.36
SO00551,2023-02-11,P094,13,236.18
SO00552,2024-10-10,P007,17,881.21
SO00553,2023-12-26,P002,7,104.29
SO00554,2023-12-21,P041,14,49.81
SO00555,2023-06-15,P044,3,114.27
SO00556,2023-08-01,P063,15,37.23
SO00557,2024-12-07,P080,17,17.08
SO00558,2024-05-09,P051,12,78.89
SO00559,2024-10-10,P004,17,73.91
SO00560,2024-03-25,P053,3,30.31
SO00561,2024-02-14,P008,17,75.66
SO00562,2024-01-16,P093,7,209.09
SO00563,2024-11-15,P087,26,268.03
SO00564,2024-05-11,P049,6,117.53
SO00565,2024-08-07,P049,18,105.02
SO00566,2023-06-17,P099,4,1007.53
SO00567,2023-02-14,P010,18,71.34
SO00568,2023-06-07,P004,10,54.22
SO00569,2024-08-30,P093,3,209.62
SO00570,2024-04-11,P070,5,208.08
SO00571,2024-04-06,P012,16,62.39
SO00572,2023-03-31,P027,19,211.26
SO00573,2024-05-07,P038,8,136.46
SO00574,2024-07-03,P010,11,47.12
SO00575,2023-07-04,P016,4,1118.34
SO00576,2023-08-03,P092,4,122.64
SO00577,2023-07-27,P025,9,100.81
SO00578,2023-03-31,P008,1,76.34
SO00579,2023-10-14,P042,14,162.79
SO00580,2023-10-19,P050,17,52.77
SO00581,2023-09-24,P092,18,158.45
SO00582,2024-04-26,P071,11,17.42
SO00583,2024-04-13,P025,4,104.62
SO00584,2023-11-15,P023,23,27.62
SO00585,2023-10-17,P066,12,166.26
SO00586,2023-12-19,P006,9,111.43
SO00587,2023-04-19,P017,18,19.48
SO00588,2023-04-14,P061,13,99.56
SO00589,2023-12-18,P010,7,45.53
SO00590,2024-11-23,P079,13,16.7
SO00591,2024-05-17,P094,6,216.98
SO00592,2024-01-26,P067,3,50.31
SO00593,2023-02-15,P078,9,218.24
SO00594,2024-05-08,P042,12,266.98
SO00595,2024-03-17,P011,8,149.86
SO00596,2024-12-02,P097,5,22.46
SO00597,2023-09-21,P013,5,22.12
SO00598,2024-10-27,P085,12,153.68
SO00599,2024-02-18,P086,16,927.49
SO00600,2024-09-14,P086,9,858.53
SO00601,2024-05-08,P016,2,856.93
SO00602,2023-08-13,P091,13,1057.43
SO00603,2023-03-10,P059,11,94.14
SO00604,2023-07-05,P095,19,82.82
SO00605,2023-10-03,P004,3,61.87
SO00606,2024-08-04,P093,8,211.09
SO00607,2024-01-17,P051,11,50.57
SO00608,2023-11-17,P007,18,861.63
SO00609,2024-10-06,P009,30,108.31
SO00610,2023-07-07,P069,1,145.74
SO00611,2024-10-10,P100,5,109.8
SO00612,2023-05-14,P078,12,130.12
SO00613,2024-03-27,P053,2,19.9
SO00614,2023-06-24,P021,5,131.3
SO00615,2023-07-05,P040,4,422.78
SO00616,2024-05-19,P031,10,34.5
SO00617,2023-09-16,P073,14,200.51
SO00618,2024-12-12,P100,10,167.91
SO00619,2023-04-19,P100,15,103.83
SO00620,2024-01-18,P066,10,175.35
SO00621,2024-03-26,P062,4,77.58
SO00622,2024-07-27,P001,19,83.51
SO00623,2024-08-27,P057,19,128.89
SO00624,2024-10-02,P002,14,112.47
SO00625,2023-11-23,P081,3,203.67
SO00626,2024-01-17,P027,4,206.91
SO00627,2024-10-18,P087,10,154.9
SO00628,2024-06-29,P047,3,69.75
SO00629,2024-07-02,P026,10,146.07
SO00630,2023-09-20,P042,14,136.88
SO00631,2023-04-28,P099,7,1138.5
SO00632,2024-08-18,P043,18,64.29
SO00633,2024-02-13,P018,1,50.77
SO00634,2024-01-10,P055,13,195.59
SO00635,2023-03-02,P006,17,112.82
SO00636,2024-07-14,P059,11,71.32
SO00637,2024-01-24,P066,2,161.98
SO00638,2024-01-23,P043,8,58.81
SO00639,2023-03-29,P083,3,89.94
SO00640,2023-12-29,P027,16,226.99
SO00641,2023-05-10,P042,4,188.03
SO00642,2024-05-20,P004,14,38.96
SO00643,2023-08-19,P097,9,16.18
SO00644,2023-07-16,P018,9,39.45
SO00645,2024-04-18,P096,12,170.23
SO00646,2024-03-29,P096,2,224.46
SO00647,2024-01-29,P009,9,135.54
SO00648,2024-04-08,P028,13,37.53
SO00649,2023-05-15,P009,10,174.58
SO00650,2023-06-02,P035,3,513.37
SO00651,2024-08-08,P100,4,107.54
SO00652,2024-11-30,P003,23,127.61
SO00653,2024-01-29,P027,16,197.4
SO00654,2023-08-17,P031,19,41.2
SO00655,2024-11-18,P016,30,838.75
SO00656,2024-02-07,P094,1,171.73
SO00657,2024-11-07,P085,7,177.77
SO00658,2023-09-03,P079,14,20.38
SO00659,2024-05-18,P094,7,164.33
SO00660,2024-02-11,P044,19,116.88
SO00661,2024-05-01,P008,14,75.98
SO00662,2023-07-02,P007,13,1194.66
SO00663,2023-12-21,P080,17,24.29
