production_run_id,production_date,product_id,quantity_produced,direct_labor_hours,waste_quantity_produced,waste_reason
PR00136,2024-11-16,P052,62,26.7,0,None
PR00137,2023-05-28,P024,195,66.01,5,Spoilage
PR00138,2023-12-02,P050,460,199.45,0,None
PR00139,2024-12-08,P058,408,181.56,0,None
PR00140,2024-04-09,P058,84,33.69,3,Production Error
PR00141,2024-08-29,P075,288,133.66,0,None
PR00142,2024-06-19,P095,255,90.54,0,None
PR00143,2024-05-10,P053,125,54.77,0,None
PR00144,2024-07-09,P073,50,20.48,1,Overproduction
PR00145,2023-08-29,P018,95,27.07,0,None
PR00146,2024-12-07,P097,75,23.67,6,Defective Material
PR00147,2023-09-19,P002,438,145.89,0,None
PR00148,2023-02-24,P011,485,190.93,4,Production Error
PR00149,2023-10-17,P059,87,31.34,0,None
PR00150,2023-06-04,P043,360,150.48,0,None
PR00151,2024-04-22,P045,75,23.25,0,None
PR00152,2024-09-24,P033,177,83.71,0,None
PR00153,2023-03-21,P089,268,105.06,15,Production Error
PR00154,2024-05-28,P013,319,50.38,0,None
PR00155,2024-08-15,P008,386,167.6,0,None
PR00156,2023-12-25,P036,140,42.82,0,None
PR00157,2024-09-20,P027,292,47.92,5,Production Error
PR00158,2023-03-16,P015,467,171.57,0,None
PR00159,2023-12-25,P052,416,62.54,0,None
PR00160,2023-08-24,P044,319,143.87,8,Overproduction
PR00161,2024-08-07,P063,231,49.48,0,None
PR00162,2023-03-05,P070,52,25.77,0,None
PR00163,2023-04-29,P047,256,112.65,0,None
PR00164,2023-06-13,P088,208,27.73,0,None
PR00165,2024-09-25,P047,261,51.31,0,None
PR00166,2023-09-26,P062,453,129.1,6,Defective Material
PR00167,2024-10-08,P026,156,37.99,0,None
PR00168,2023-07-26,P079,252,86.36,0,None
PR00169,2023-01-16,P034,338,138.5,0,None
PR00170,2023-07-15,P036,301,62.42,0,None
PR00171,2024-09-10,P077,179,69.79,0,None
PR00172,2024-06-24,P077,317,112.62,5,Defective Material
PR00173,2024-10-25,P052,245,114.75,0,None
PR00174,2023-06-02,P031,445,83.67,0,None
PR00175,2023-10-22,P064,74,10.49,0,None
PR00176,2024-09-06,P033,441,176.24,0,None
PR00177,2023-05-03,P030,131,24.46,0,None
PR00178,2023-02-12,P038,178,61.65,0,None
PR00179,2023-09-22,P044,202,50.96,0,None
PR00180,2024-12-09,P071,430,137.79,0,None
PR00181,2023-10-16,P044,344,106.89,0,None
PR00182,2024-09-15,P096,354,169.79,0,None
PR00183,2024-06-23,P028,229,51.12,2,Overproduction
PR00184,2024-05-18,P042,216,40.86,0,None
PR00185,2024-04-08,P055,352,123.58,0,None
PR00186,2023-12-10,P093,343,36.32,0,None
PR00187,2023-05-18,P076,244,106.17,0,None
PR00188,2024-07-25,P023,341,62.24,0,None
PR00189,2023-05-12,P069,261,128.32,21,Defective Material
PR00190,2024-02-28,P038,398,40.22,0,None
PR00191,2024-04-17,P086,114,17.99,0,None
PR00192,2023-07-19,P086,50,23.26,0,None
PR00193,2024-07-18,P042,414,177.08,0,None
PR00194,2024-05-22,P008,158,50.69,12,Overproduction
PR00195,2023-08-19,P094,96,11.66,0,None
PR00196,2024-11-05,P028,228,107.21,0,None
PR00197,2024-10-05,P036,69,10.75,0,None
PR00198,2024-02-27,P004,417,62.91,0,None
PR00199,2023-03-08,P079,426,55.64,0,None
PR00200,2024-06-11,P075,363,99.71,0,None
PR00201,2023-11-15,P082,98,23.02,0,None
PR00202,2024-09-04,P076,262,33.72,0,None
PR00203,2024-05-26,P009,382,61.83,0,None
PR00204,2024-05-12,P091,102,10.82,0,None
PR00205,2024-04-21,P015,220,45.79,0,None
PR00206,2024-07-07,P005,69,7.63,0,None
PR00207,2023-02-16,P044,468,125.88,0,None
PR00208,2024-03-21,P014,436,183.94,0,None
PR00209,2023-01-27,P080,331,118.96,0,None
PR00210,2023-08-08,P012,469,80.51,11,Overproduction
PR00211,2024-10-26,P076,259,98.32,0,None
PR00212,2024-06-29,P011,237,26.16,0,None
PR00213,2023-03-31,P047,169,33.52,0,None
PR00214,2024-08-23,P077,409,175.01,0,None
PR00215,2023-04-04,P008,58,18.94,0,None
PR00216,2023-11-30,P059,457,141.0,0,None
PR00217,2024-07-18,P064,150,59.94,0,None
PR00218,2023-03-18,P064,110,45.98,0,None
PR00219,2023-09-23,P039,392,117.83,14,Spoilage
PR00220,2023-01-24,P062,217,75.14,0,None
PR00221,2023-05-10,P023,397,68.4,0,None
PR00222,2023-09-10,P028,140,44.65,12,Production Error
PR00223,2023-11-25,P042,133,54.21,0,None
PR00224,2024-03-18,P099,480,115.95,0,None
PR00225,2023-04-15,P032,440,116.83,0,None
PR00226,2023-10-30,P022,246,114.2,0,None
PR00227,2023-08-18,P014,453,141.79,0,None
PR00228,2023-07-28,P095,278,30.74,0,None
PR00229,2024-09-06,P092,396,153.75,0,None
PR00230,2023-05-15,P029,445,84.07,0,None
PR00231,2024-03-12,P024,76,26.46,0,None
PR00232,2023-11-04,P010,373,138.38,0,None
PR00233,2024-07-28,P084,474,185.96,0,None
PR00234,2023-03-25,P098,189,27.56,0,None
PR00235,2024-02-14,P089,253,82.95,0,None
PR00236,2023-08-21,P006,311,127.1,0,None
PR00237,2023-10-28,P094,157,39.32,0,None
PR00238,2023-01-31,P098,424,148.12,0,None
PR00239,2023-03-10,P076,389,147.88,0,None
PR00240,2023-04-02,P059,381,185.22,0,None
PR00241,2023-12-26,P088,154,72.02,0,None
PR00242,2023-02-16,P056,316,150.27,0,None
PR00243,2023-12-19,P013,160,54.41,0,None
PR00244,2024-02-06,P029,309,148.44,0,None
PR00245,2023-05-04,P100,52,17.49,0,None
PR00246,2024-02-11,P055,136,16.1,0,None
PR00247,2023-02-26,P043,441,81.31,0,None
PR00248,2023-04-06,P015,444,113.92,0,None
PR00249,2024-07-27,P100,91,24.54,0,None
PR00250,2024-03-13,P060,129,51.84,0,None
PR00251,2023-06-07,P047,473,170.55,0,None
PR00252,2024-06-10,P086,344,122.75,24,Overproduction
PR00253,2023-06-15,P059,85,17.13,0,None
PR00254,2023-07-05,P100,307,129.06,0,None
PR00255,2024-11-02,P095,307,151.56,2,Spoilage
PR00256,2024-04-09,P089,93,21.03,8,Defective Material
PR00257,2023-02-19,P008,218,44.96,0,None
PR00258,2023-01-14,P092,237,40.95,0,None
PR00259,2024-08-14,P020,156,21.92,0,None
PR00260,2024-10-08,P087,189,69.04,0,None
PR00261,2023-05-04,P040,144,21.17,6,Spoilage
PR00262,2024-07-15,P057,375,52.61,0,None
PR00263,2024-03-14,P023,228,101.08,0,None
PR00264,2023-12-03,P056,488,204.82,0,None
PR00265,2023-02-27,P089,230,103.57,0,None
PR00266,2023-03-18,P026,447,107.25,0,None
PR00267,2024-05-01,P016,153,38.06,0,None
PR00268,2024-05-13,P098,304,83.48,0,None
PR00269,2023-04-01,P031,262,53.74,0,None
PR00270,2024-11-03,P083,137,33.5,0,None
PR00271,2023-02-08,P026,431,146.45,0,None
PR00272,2023-10-31,P065,58,6.71,0,None
PR00273,2024-08-11,P070,364,50.88,23,Overproduction
PR00274,2024-10-14,P007,89,34.1,0,None
PR00275,2024-07-03,P026,461,125.61,0,None
PR00276,2024-06-08,P061,66,10.94,0,None
PR00277,2024-03-23,P042,247,111.02,0,None
PR00278,2024-05-13,P043,117,43.63,0,None
PR00279,2024-11-08,P048,470,224.13,0,None
PR00280,2023-01-15,P065,274,129.19,0,None
PR00281,2023-02-08,P068,88,43.27,0,None
PR00282,2023-02-21,P095,422,75.01,2,Defective Material
PR00283,2023-07-27,P033,378,101.45,0,None
PR00284,2023-02-17,P078,60,10.88,4,Overproduction
PR00285,2023-05-05,P090,318,39.34,0,None
PR00286,2024-09-13,P084,104,51.06,2,Spoilage
PR00287,2024-12-16,P008,496,136.88,39,Spoilage
PR00288,2024-04-11,P009,438,148.6,0,None
PR00289,2024-02-23,P062,130,58.98,0,None
PR00290,2023-04-27,P026,56,24.61,0,None
PR00291,2023-02-20,P028,225,50.98,0,None
PR00292,2023-11-23,P069,410,110.52,0,None
PR00293,2024-06-24,P073,342,164.09,0,None
PR00294,2023-12-07,P055,157,18.75,0,None
PR00295,2024-11-09,P017,77,12.08,0,None
PR00296,2023-06-22,P027,448,146.43,0,None
PR00297,2024-08-27,P046,143,52.25,0,None
PR00298,2023-01-26,P043,233,46.17,0,None
PR00299,2023-01-11,P028,181,89.58,0,None
PR00300,2023-02-06,P009,160,52.3,0,None
PR00301,2024-06-21,P022,230,83.28,0,None
PR00302,2023-02-08,P017,175,77.18,0,None
PR00303,2024-08-27,P051,154,49.02,0,None
PR00304,2023-11-13,P041,228,87.2,0,None
PR00305,2024-06-10,P021,252,116.48,0,None
PR00306,2024-12-03,P040,477,68.15,0,None
PR00307,2024-12-05,P021,289,73.74,0,None
PR00308,2024-12-29,P021,499,186.25,0,None
PR00309,2024-01-18,P036,431,72.24,0,None
PR00310,2023-08-27,P009,401,75.98,19,Production Error
PR00311,2023-08-30,P055,404,78.66,0,None
PR00312,2023-10-31,P092,199,72.95,0,None
PR00313,2023-01-19,P066,366,121.98,19,Defective Material
PR00314,2023-08-28,P006,146,44.85,0,None
PR00315,2023-09-14,P064,450,210.84,0,None
PR00316,2024-03-02,P089,188,54.85,0,None
PR00317,2023-03-02,P042,443,46.46,0,None
PR00318,2024-03-20,P027,407,87.08,0,None
PR00319,2024-04-15,P018,414,63.82,0,None
PR00320,2023-12-13,P040,298,100.58,0,None
PR00321,2023-07-08,P040,482,66.44,0,None
PR00322,2024-11-11,P039,69,29.87,0,None
PR00323,2024-10-09,P051,148,35.98,0,None
PR00324,2023-03-13,P078,353,115.59,0,None
PR00325,2024-11-21,P042,452,162.19,0,None
PR00326,2024-03-20,P099,465,147.46,0,None
PR00327,2024-08-28,P040,384,153.58,0,None
PR00328,2024-05-08,P075,490,219.83,0,None
PR00329,2023-08-13,P071,386,61.86,0,None
PR00330,2023-02-14,P024,275,35.07,0,None
PR00331,2024-02-01,P098,142,47.93,0,None
PR00332,2024-11-25,P024,488,204.6,0,None
PR00333,2023-06-22,P044,414,110.47,0,None
PR00334,2024-10-05,P100,161,34.31,0,None
PR00335,2023-07-23,P005,267,91.31,0,None
PR00336,2023-03-03,P015,201,29.75,2,Spoilage
PR00337,2023-11-04,P083,115,53.51,10,Spoilage
PR00338,2023-01-13,P018,77,24.77,0,None
PR00339,2024-03-21,P079,364,38.95,0,None
PR00340,2023-01-27,P085,351,147.11,0,None
PR00341,2024-05-26,P050,250,102.21,0,None
PR00342,2024-06-13,P020,127,27.71,0,None
PR00343,2023-03-17,P093,440,58.11,0,None
PR00344,2023-02-18,P016,281,62.85,0,None
PR00345,2023-01-23,P056,330,125.57,13,Spoilage
PR00346,2023-04-22,P024,488,95.09,0,None
PR00347,2024-03-23,P032,423,149.89,0,None
PR00348,2024-06-16,P034,170,25.66,16,Defective Material
PR00349,2023-08-29,P097,162,35.97,0,None
PR00350,2023-02-09,P084,360,164.42,0,None
PR00351,2023-06-19,P043,244,68.22,0,None
PR00352,2023-04-21,P094,99,11.54,0,None
PR00353,2023-04-15,P069,214,38.57,0,None
PR00354,2024-08-15,P081,306,100.01,21,Overproduction
PR00355,2024-03-28,P050,113,31.05,0,None
PR00356,2024-04-14,P034,336,48.36,12,Production Error
PR00357,2023-12-22,P033,102,36.39,0,None
PR00358,2023-07-13,P079,404,118.02,0,None
PR00359,2024-03-21,P041,491,149.04,18,Defective Material
PR00360,2023-03-29,P091,214,82.65,0,None
PR00361,2023-06-16,P060,342,112.84,0,None
PR00362,2023-12-28,P067,224,73.87,0,None
PR00363,2023-11-07,P058,381,83.24,0,None
PR00364,2024-04-29,P010,71,7.41,0,None
PR00365,2024-10-29,P080,93,33.42,7,Spoilage
PR00366,2024-06-20,P049,101,22.65,0,None
PR00367,2024-07-09,P097,343,43.09,0,None
PR00368,2024-01-20,P036,488,160.19,0,None
PR00369,2024-05-10,P002,460,227.82,0,None
PR00370,2023-07-20,P078,222,108.52,0,None
PR00371,2023-02-14,P098,379,152.21,0,None
PR00372,2023-04-04,P039,373,82.9,0,None
PR00373,2024-01-04,P058,278,48.14,0,None
PR00374,2024-10-03,P043,344,56.99,0,None
PR00375,2024-10-21,P097,480,88.47,0,None
PR00376,2024-12-10,P090,332,63.5,0,None
PR00377,2024-10-02,P008,302,68.31,0,None
PR00378,2024-12-11,P040,462,185.78,0,None
PR00379,2024-02-15,P089,109,12.96,0,None
PR00380,2023-06-22,P069,244,96.03,0,None
PR00381,2023-07-12,P077,303,131.29,0,None
PR00382,2023-03-11,P082,269,130.5,11,Spoilage
PR00383,2024-07-02,P068,294,76.65,0,None
PR00384,2024-12-28,P094,451,86.7,18,Defective Material
PR00385,2023-05-15,P063,144,37.1,0,None
PR00386,2023-11-03,P090,94,22.85,0,None
PR00387,2024-05-02,P015,465,177.89,0,None
PR00388,2024-08-17,P045,172,28.21,0,None
PR00389,2023-03-27,P029,139,41.02,0,None
PR00390,2023-10-27,P024,66,17.72,2,Production Error
PR00391,2023-03-09,P072,66,23.63,5,Overproduction
PR00392,2024-05-06,P004,480,96.43,0,None
PR00393,2024-12-27,P051,491,161.21,14,Overproduction
PR00394,2023-12-30,P047,70,14.95,0,None
PR00395,2024-01-19,P096,357,100.31,0,None
PR00396,2024-12-07,P013,327,146.49,0,None
PR00397,2024-12-10,P008,103,34.44,0,None
PR00398,2023-05-11,P086,160,66.43,1,Spoilage
PR00399,2023-03-28,P054,488,132.79,0,None
PR00400,2024-12-04,P069,252,50.09,0,None
PR00401,2024-04-11,P077,107,28.48,0,None
PR00402,2024-03-10,P018,206,79.78,0,None
PR00403,2023-06-13,P076,264,121.25,0,None
PR00404,2024-04-08,P009,80,37.64,5,Defective Material
PR00405,2024-05-11,P031,190,62.45,0,None
PR00406,2023-11-11,P077,131,28.57,0,None
PR00407,2024-10-21,P078,462,196.0,35,Spoilage
PR00408,2023-02-03,P062,377,69.72,0,None
PR00409,2024-04-29,P076,50,15.06,0,None
PR00410,2024-02-13,P005,237,59.12,0,None
PR00411,2023-07-15,P075,306,131.58,0,None
PR00412,2023-08-16,P036,61,17.77,0,None
PR00413,2023-08-28,P015,186,34.34,4,Defective Material
PR00414,2023-01-21,P091,472,83.04,0,None
PR00415,2023-03-31,P005,302,132.91,6,Overproduction
PR00416,2023-05-03,P003,217,39.88,7,Defective Material
PR00417,2024-02-17,P052,496,216.85,0,None
PR00418,2024-04-15,P060,262,101.05,0,None
PR00419,2024-08-22,P033,466,97.22,0,None
PR00420,2023-05-03,P012,74,30.64,2,Production Error
PR00421,2023-06-01,P064,364,128.1,0,None
PR00422,2024-07-03,P017,446,93.72,0,None
PR00423,2024-11-21,P005,485,231.91,0,None
PR00424,2023-03-08,P072,233,31.4,0,None
PR00425,2024-08-06,P088,191,70.08,0,None
PR00426,2024-12-16,P010,430,158.45,0,None
PR00427,2024-05-04,P006,494,117.67,0,None
PR00428,2023-05-24,P052,406,43.18,0,None
PR00429,2023-08-20,P038,163,16.58,0,None
PR00430,2024-03-21,P020,430,60.87,0,None
PR00431,2023-08-29,P047,430,181.0,0,None
PR00432,2023-01-18,P049,62,16.71,1,Spoilage
PR00433,2023-04-25,P051,419,178.23,0,None
PR00434,2023-10-05,P028,488,171.67,0,None
PR00435,2024-09-07,P071,173,80.2,0,None
PR00436,2023-10-11,P028,246,53.65,0,None
PR00437,2023-02-21,P065,316,53.01,0,None
PR00438,2023-01-20,P039,244,53.7,1,Defective Material
PR00439,2024-12-06,P095,85,11.33,0,None
PR00440,2023-04-11,P077,102,27.34,0,None
PR00441,2024-01-07,P095,97,44.48,0,None
PR00442,2023-08-29,P063,319,66.52,3,Overproduction
PR00443,2024-02-27,P041,222,86.02,0,None
PR00444,2024-03-23,P076,388,48.47,0,None
PR00445,2023-07-02,P019,445,117.31,0,None
PR00446,2024-03-27,P044,228,103.62,13,Defective Material
PR00447,2023-04-02,P039,112,47.84,0,None
PR00448,2024-01-30,P088,291,115.37,0,None
PR00449,2024-03-22,P081,146,70.81,0,None
PR00450,2023-10-19,P010,383,55.34,0,None
PR00451,2024-06-03,P061,146,57.43,0,None
PR00452,2024-07-06,P070,263,104.45,0,None
PR00453,2024-06-25,P043,217,39.75,9,Overproduction
PR00454,2023-07-01,P085,363,114.7,0,None
PR00455,2024-08-08,P044,163,24.4,13,Production Error
PR00456,2023-12-19,P017,217,64.83,11,Production Error
PR00457,2023-11-02,P087,81,18.75,0,None
PR00458,2023-03-13,P046,255,50.53,0,None
PR00459,2023-10-12,P084,252,115.61,0,None
PR00460,2024-11-25,P043,405,181.23,0,None
PR00461,2023-11-27,P002,187,90.47,0,None
PR00462,2023-12-25,P058,383,59.73,0,None
PR00463,2023-08-13,P051,116,48.46,0,None
PR00464,2023-10-27,P093,463,135.34,0,None
PR00465,2023-08-11,P001,272,118.19,0,None
PR00466,2024-03-15,P048,266,94.41,0,None
PR00467,2023-12-27,P068,251,42.58,0,None
PR00468,2023-09-11,P047,240,55.56,0,None
PR00469,2023-07-03,P075,273,48.85,9,Overproduction
PR00470,2023-10-22,P060,165,79.3,0,None
PR00471,2023-10-24,P047,472,113.86,0,None
PR00472,2024-01-30,P058,246,25.45,1,Defective Material
PR00473,2023-09-25,P019,149,52.91,6,Spoilage
PR00474,2023-06-06,P100,327,43.24,0,None
PR00475,2024-12-25,P039,301,33.01,0,None
PR00476,2024-02-02,P069,288,48.61,0,None
PR00477,2023-10-20,P061,107,48.63,0,None
PR00478,2024-05-17,P086,177,51.53,8,Spoilage
PR00479,2023-06-26,P057,462,143.17,0,None
PR00480,2023-03-20,P012,287,93.7,0,None
PR00481,2024-05-05,P060,265,26.71,0,None
PR00482,2024-08-26,P034,74,8.34,0,None
PR00483,2023-05-23,P014,52,16.1,0,None
PR00484,2024-06-15,P023,318,113.23,0,None
PR00485,2023-08-19,P099,152,40.21,0,None
PR00486,2023-06-20,P081,290,44.49,0,None
PR00487,2024-11-07,P045,496,69.33,0,None
PR00488,2023-07-22,P010,478,133.33,0,None
PR00489,2023-05-28,P010,380,146.4,36,Production Error
PR00490,2024-09-23,P090,315,154.13,24,Overproduction
PR00491,2024-05-16,P005,332,105.51,0,None
PR00492,2023-11-08,P047,180,18.63,0,None
PR00493,2023-10-29,P044,222,110.04,0,None
PR00494,2024-09-26,P079,129,57.79,0,None
PR00495,2024-04-23,P092,86,8.97,0,None
PR00496,2023-01-20,P061,421,87.89,0,None
PR00497,2023-03-27,P011,200,31.78,5,Overproduction
PR00498,2023-09-11,P025,174,31.95,0,None
PR00499,2024-10-10,P014,315,111.53,0,None
PR00500,2024-06-12,P053,112,11.74,0,None
PR00501,2024-07-15,P032,243,82.41,0,None
PR00502,2023-06-25,P063,132,29.63,0,None
PR00503,2023-05-12,P028,463,226.96,14,Spoilage
PR00504,2023-03-22,P074,52,10.65,0,None
PR00505,2023-04-26,P046,283,108.73,0,None
PR00506,2024-06-17,P013,254,53.96,0,None
PR00507,2024-03-11,P079,484,97.21,0,None
PR00508,2023-07-27,P077,92,21.11,0,None
PR00509,2023-05-17,P037,401,60.04,34,Overproduction
PR00510,2024-08-17,P057,144,40.11,8,Defective Material
PR00511,2024-11-06,P075,341,87.45,0,None
PR00512,2023-09-21,P095,360,94.87,0,None
PR00513,2023-05-22,P003,177,73.93,0,None
PR00514,2023-10-28,P026,434,183.87,0,None
PR00515,2023-12-27,P040,198,27.68,0,None
PR00516,2023-11-19,P058,54,10.1,4,Spoilage
PR00517,2023-02-22,P016,177,25.02,0,None
PR00518,2024-07-16,P091,355,165.5,0,None
PR00519,2024-11-18,P072,243,42.1,0,None
PR00520,2024-04-27,P035,333,105.75,32,Defective Material
PR00521,2023-07-02,P073,206,59.28,9,Spoilage
PR00522,2023-10-18,P001,210,37.46,0,None
PR00523,2024-12-27,P032,271,82.84,0,None
PR00524,2024-07-15,P043,361,44.45,0,None
PR00525,2024-07-28,P054,298,64.93,0,None
PR00526,2024-11-24,P018,311,95.16,0,None
PR00527,2023-05-18,P022,430,180.44,15,Defective Material
PR00528,2023-01-21,P058,432,98.04,29,Production Error
PR00529,2023-02-09,P026,262,48.96,0,None
PR00530,2023-07-13,P077,390,76.23,0,None
PR00531,2023-03-18,P011,65,29.85,0,None
PR00532,2024-08-30,P020,371,107.47,2,Defective Material
PR00533,2023-01-17,P056,112,48.96,0,None
PR00534,2023-07-01,P077,118,51.41,0,None
PR00535,2024-09-28,P044,341,34.83,24,Production Error
PR00536,2024-06-10,P087,258,117.11,0,None
PR00537,2023-05-18,P030,423,142.04,0,None
PR00538,2023-11-26,P047,416,54.6,0,None
PR00539,2024-06-22,P005,350,68.73,0,None
PR00540,2024-01-08,P031,328,70.08,0,None
PR00541,2024-07-15,P064,359,78.62,0,None
PR00542,2024-07-01,P042,160,46.45,0,None
