movement_id,product_id,movement_date,movement_type,quantity_moved,location_id
INV000_INIT_P097,P097,2022-12-31,Initial Stock,120,WH_A
INV000_INIT_P098,P098,2022-12-31,Initial Stock,246,WH_A
INV000_INIT_P099,P099,2022-12-31,Initial Stock,302,WH_A
INV000_INIT_P100,P100,2022-12-31,Initial Stock,233,WH_A
INV_SOSO03841,P005,2023-01-01,Shipment (Sale),-8,WH_B
INV_PRPR01016,P009,2023-01-01,Receipt (Production),390,WH_A
INV_SOSO18826,P012,2023-01-01,Shipment (Sale),-18,WH_B
INV_SOSO17827,P013,2023-01-01,Shipment (Sale),-13,WH_A
INV_PRPR05058,P015,2023-01-01,Receipt (Production),328,WH_A
INV_PRPR09089,P017,2023-01-01,Receipt (Production),480,WH_B
INV_PRPR05025,P019,2023-01-01,Receipt (Production),208,WH_B
INV_SOSO06413,P019,2023-01-01,Shipment (Sale),-15,WH_B
INV_SOSO04634,P020,2023-01-01,Shipment (Sale),-8,WH_A
INV_SOSO19909,P029,2023-01-01,Shipment (Sale),-18,WH_B
INV_SOSO08995,P033,2023-01-01,Shipment (Sale),-1,WH_B
INV_SOSO06795,P034,2023-01-01,Shipment (Sale),-1,WH_B
INV_SOSO18462,P035,2023-01-01,Shipment (Sale),-17,WH_A
INV_SOSO10507,P036,2023-01-01,Shipment (Sale),-17,WH_A
INV_PRPR03115,P038,2023-01-01,Receipt (Production),169,WH_A
INV_SOSO16158,P039,2023-01-01,Shipment (Sale),-14,WH_A
INV_SOSO08917,P040,2023-01-01,Shipment (Sale),-9,WH_A
INV_SOSO16845,P054,2023-01-01,Shipment (Sale),-5,WH_B
INV_PRPR06680,P061,2023-01-01,Receipt (Production),71,WH_A
INV_SOSO00250,P061,2023-01-01,Shipment (Sale),-16,WH_A
INV_PRPR03152,P063,2023-01-01,Receipt (Production),274,WH_B
INV_PRPR07130,P064,2023-01-01,Receipt (Production),90,WH_A
INV_PRPR02415,P065,2023-01-01,Receipt (Production),170,WH_A
INV_PRPR02710,P069,2023-01-01,Receipt (Production),424,WH_B
INV_SOSO10114,P069,2023-01-01,Shipment (Sale),-11,WH_B
INV_PRPR02903,P072,2023-01-01,Receipt (Production),402,WH_A
INV_SOSO10224,P074,2023-01-01,Shipment (Sale),-7,WH_A
INV_SOSO13015,P076,2023-01-01,Shipment (Sale),-17,WH_B
INV_PRPR03713,P082,2023-01-01,Receipt (Production),204,WH_B
INV_PRPR08421,P085,2023-01-01,Receipt (Production),201,WH_B
INV_PRPR02049,P087,2023-01-01,Receipt (Production),364,WH_A
INV_SOSO16092,P088,2023-01-01,Shipment (Sale),-6,WH_A
INV_PRPR01140,P093,2023-01-01,Receipt (Production),399,WH_B
INV_SOSO11178,P097,2023-01-01,Shipment (Sale),-7,WH_B
INV_SOSO13662,P100,2023-01-01,Shipment (Sale),-3,WH_A
INV_PRPR03602,P001,2023-01-02,Receipt (Production),492,WH_B
INV_SOSO15930,P001,2023-01-02,Shipment (Sale),-10,WH_B
INV_SOSO11679,P002,2023-01-02,Shipment (Sale),-9,WH_B
INV_SOSO10002,P003,2023-01-02,Shipment (Sale),-13,WH_B
INV_SOSO11869,P009,2023-01-02,Shipment (Sale),-9,WH_B
INV_SOSO07522,P012,2023-01-02,Shipment (Sale),-15,WH_B
INV_SOSO18416,P012,2023-01-02,Shipment (Sale),-8,WH_A
INV_PRPR09687,P014,2023-01-02,Receipt (Production),327,WH_B
INV_SOSO01605,P015,2023-01-02,Shipment (Sale),-9,WH_A
INV_PRPR09236,P022,2023-01-02,Receipt (Production),249,WH_A
INV_SOSO15824,P026,2023-01-02,Shipment (Sale),-5,WH_B
INV_PRPR05205,P030,2023-01-02,Receipt (Production),263,WH_B
INV_PRPR09616,P030,2023-01-02,Receipt (Production),101,WH_A
INV_SOSO03763,P030,2023-01-02,Shipment (Sale),-6,WH_B
INV_SOSO15172,P032,2023-01-02,Shipment (Sale),-7,WH_B
INV_SOSO06863,P036,2023-01-02,Shipment (Sale),-4,WH_A
INV_SOSO09602,P040,2023-01-02,Shipment (Sale),-1,WH_B
INV_SOSO05289,P041,2023-01-02,Shipment (Sale),-11,WH_A
INV_PRPR03795,P043,2023-01-02,Receipt (Production),294,WH_B
INV_SOSO17945,P044,2023-01-02,Shipment (Sale),-12,WH_B
INV_PRPR01948,P047,2023-01-02,Receipt (Production),99,WH_A
INV_SOSO12651,P049,2023-01-02,Shipment (Sale),-13,WH_B
INV_PRPR03318,P052,2023-01-02,Receipt (Production),354,WH_A
INV_SOSO07400,P052,2023-01-02,Shipment (Sale),-5,WH_A
INV_SOSO16766,P053,2023-01-02,Shipment (Sale),-17,WH_A
INV_SOSO03775,P054,2023-01-02,Shipment (Sale),-10,WH_A
INV_PRPR02330,P055,2023-01-02,Receipt (Production),468,WH_A
INV_PRPR08441,P056,2023-01-02,Receipt (Production),52,WH_A
INV_PRPR01892,P057,2023-01-02,Receipt (Production),237,WH_B
INV_SOSO04299,P061,2023-01-02,Shipment (Sale),-4,WH_B
INV_SOSO16226,P061,2023-01-02,Shipment (Sale),-9,WH_A
INV_SOSO18030,P062,2023-01-02,Shipment (Sale),-13,WH_A
INV_PRPR07143,P064,2023-01-02,Receipt (Production),482,WH_B
INV_SOSO06361,P064,2023-01-02,Shipment (Sale),-10,WH_B
INV_SOSO18296,P068,2023-01-02,Shipment (Sale),-12,WH_A
INV_SOSO00442,P071,2023-01-02,Shipment (Sale),-2,WH_B
INV_SOSO09353,P071,2023-01-02,Shipment (Sale),-8,WH_B
INV_SOSO10005,P083,2023-01-02,Shipment (Sale),-2,WH_B
INV_PRPR08041,P094,2023-01-02,Receipt (Production),404,WH_B
INV_SOSO01412,P095,2023-01-02,Shipment (Sale),-15,WH_A
INV_PRPR07252,P097,2023-01-02,Receipt (Production),134,WH_A
INV_SOSO07226,P097,2023-01-02,Shipment (Sale),-10,WH_A
INV_SOSO18946,P100,2023-01-02,Shipment (Sale),-8,WH_A
INV_SOSO06439,P003,2023-01-03,Shipment (Sale),-13,WH_A
INV_PRPR06517,P007,2023-01-03,Receipt (Production),285,WH_A
INV_SOSO04522,P007,2023-01-03,Shipment (Sale),-17,WH_A
INV_PRPR03498,P009,2023-01-03,Receipt (Production),271,WH_B
INV_SOSO02541,P013,2023-01-03,Shipment (Sale),-6,WH_A
INV_SOSO19516,P016,2023-01-03,Shipment (Sale),-7,WH_A
INV_PRPR02283,P020,2023-01-03,Receipt (Production),312,WH_A
INV_PRPR00810,P022,2023-01-03,Receipt (Production),126,WH_B
INV_PRPR02871,P023,2023-01-03,Receipt (Production),85,WH_A
INV_PRPR04512,P024,2023-01-03,Receipt (Production),315,WH_A
INV_PRPR08649,P026,2023-01-03,Receipt (Production),235,WH_B
INV_PRPR04381,P029,2023-01-03,Receipt (Production),323,WH_A
INV_SOSO02767,P029,2023-01-03,Shipment (Sale),-1,WH_A
INV_SOSO00914,P030,2023-01-03,Shipment (Sale),-11,WH_B
INV_SOSO17170,P031,2023-01-03,Shipment (Sale),-3,WH_A
INV_SOSO19845,P032,2023-01-03,Shipment (Sale),-11,WH_A
INV_SOSO11819,P034,2023-01-03,Shipment (Sale),-6,WH_A
INV_SOSO19074,P038,2023-01-03,Shipment (Sale),-16,WH_A
INV_SOSO03844,P040,2023-01-03,Shipment (Sale),-7,WH_B
INV_SOSO15276,P040,2023-01-03,Shipment (Sale),-7,WH_A
INV_PRPR08113,P042,2023-01-03,Receipt (Production),174,WH_B
INV_SOSO02725,P045,2023-01-03,Shipment (Sale),-15,WH_B
INV_SOSO01922,P050,2023-01-03,Shipment (Sale),-13,WH_B
INV_SOSO05819,P052,2023-01-03,Shipment (Sale),-6,WH_A
INV_SOSO17071,P052,2023-01-03,Shipment (Sale),-4,WH_A
INV_SOSO17118,P052,2023-01-03,Shipment (Sale),-3,WH_A
INV_PRPR01079,P059,2023-01-03,Receipt (Production),270,WH_A
INV_PRPR03474,P060,2023-01-03,Receipt (Production),210,WH_A
INV_SOSO12011,P061,2023-01-03,Shipment (Sale),-11,WH_A
INV_SOSO03922,P063,2023-01-03,Shipment (Sale),-12,WH_A
INV_SOSO08802,P065,2023-01-03,Shipment (Sale),-18,WH_B
INV_SOSO16248,P065,2023-01-03,Shipment (Sale),-6,WH_B
INV_PRPR06383,P077,2023-01-03,Receipt (Production),472,WH_B
INV_SOSO12512,P077,2023-01-03,Shipment (Sale),-19,WH_A
INV_PRPR03204,P081,2023-01-03,Receipt (Production),198,WH_A
INV_SOSO16076,P082,2023-01-03,Shipment (Sale),-14,WH_A
INV_SOSO00087,P084,2023-01-03,Shipment (Sale),-18,WH_B
INV_SOSO13454,P091,2023-01-03,Shipment (Sale),-2,WH_A
INV_PRPR06514,P092,2023-01-03,Receipt (Production),78,WH_B
INV_SOSO11454,P092,2023-01-03,Shipment (Sale),-19,WH_B
INV_SOSO01151,P093,2023-01-03,Shipment (Sale),-8,WH_B
INV_SOSO16817,P093,2023-01-03,Shipment (Sale),-12,WH_A
INV_SOSO12370,P094,2023-01-03,Shipment (Sale),-7,WH_A
INV_PRPR02917,P098,2023-01-03,Receipt (Production),412,WH_B
INV_SOSO00085,P098,2023-01-03,Shipment (Sale),-9,WH_A
INV_SOSO07044,P098,2023-01-03,Shipment (Sale),-10,WH_B
INV_SOSO12252,P100,2023-01-03,Shipment (Sale),-5,WH_B
INV_SOSO19337,P001,2023-01-04,Shipment (Sale),-7,WH_B
INV_PRPR03810,P011,2023-01-04,Receipt (Production),444,WH_B
INV_SOSO09900,P016,2023-01-04,Shipment (Sale),-7,WH_A
INV_PRPR04614,P019,2023-01-04,Receipt (Production),140,WH_B
INV_SOSO09390,P020,2023-01-04,Shipment (Sale),-14,WH_A
INV_SOSO11987,P020,2023-01-04,Shipment (Sale),-13,WH_A
INV_SOSO15616,P020,2023-01-04,Shipment (Sale),-18,WH_A
INV_PRPR08437,P021,2023-01-04,Receipt (Production),354,WH_B
INV_SOSO06102,P029,2023-01-04,Shipment (Sale),-7,WH_B
INV_SOSO04111,P030,2023-01-04,Shipment (Sale),-9,WH_B
INV_SOSO05287,P032,2023-01-04,Shipment (Sale),-15,WH_A
INV_SOSO02214,P034,2023-01-04,Shipment (Sale),-3,WH_A
INV_SOSO06376,P034,2023-01-04,Shipment (Sale),-6,WH_A
INV_SOSO07085,P041,2023-01-04,Shipment (Sale),-15,WH_A
INV_SOSO11117,P041,2023-01-04,Shipment (Sale),-18,WH_B
INV_SOSO19499,P043,2023-01-04,Shipment (Sale),-13,WH_A
INV_PRPR01812,P045,2023-01-04,Receipt (Production),56,WH_B
INV_PRPR01922,P047,2023-01-04,Receipt (Production),396,WH_B
INV_PRPR01677,P053,2023-01-04,Receipt (Production),187,WH_A
INV_PRPR01932,P059,2023-01-04,Receipt (Production),463,WH_B
INV_SOSO02200,P067,2023-01-04,Shipment (Sale),-12,WH_A
INV_SOSO17319,P069,2023-01-04,Shipment (Sale),-8,WH_B
INV_SOSO17374,P070,2023-01-04,Shipment (Sale),-2,WH_A
INV_SOSO01849,P071,2023-01-04,Shipment (Sale),-7,WH_B
INV_SOSO01460,P075,2023-01-04,Shipment (Sale),-4,WH_B
INV_SOSO12650,P089,2023-01-04,Shipment (Sale),-2,WH_B
INV_SOSO13903,P092,2023-01-04,Shipment (Sale),-7,WH_A
INV_PRPR05810,P096,2023-01-04,Receipt (Production),344,WH_A
INV_SOSO00682,P100,2023-01-04,Shipment (Sale),-18,WH_A
INV_SOSO14226,P001,2023-01-05,Shipment (Sale),-5,WH_A
INV_PRPR09501,P003,2023-01-05,Receipt (Production),183,WH_B
INV_SOSO09427,P003,2023-01-05,Shipment (Sale),-5,WH_A
INV_PRPR02494,P009,2023-01-05,Receipt (Production),254,WH_A
INV_PRPR08013,P009,2023-01-05,Receipt (Production),139,WH_B
INV_SOSO08927,P009,2023-01-05,Shipment (Sale),-1,WH_A
INV_SOSO12735,P009,2023-01-05,Shipment (Sale),-12,WH_A
INV_SOSO04037,P014,2023-01-05,Shipment (Sale),-5,WH_A
INV_PRPR08596,P019,2023-01-05,Receipt (Production),335,WH_A
INV_SOSO06149,P024,2023-01-05,Shipment (Sale),-15,WH_B
INV_SOSO06660,P027,2023-01-05,Shipment (Sale),-13,WH_B
INV_PRPR08390,P028,2023-01-05,Receipt (Production),142,WH_B
INV_SOSO01882,P028,2023-01-05,Shipment (Sale),-11,WH_A
INV_SOSO03546,P028,2023-01-05,Shipment (Sale),-13,WH_B
INV_SOSO00896,P029,2023-01-05,Shipment (Sale),-9,WH_B
INV_SOSO09988,P031,2023-01-05,Shipment (Sale),-8,WH_A
INV_SOSO12396,P033,2023-01-05,Shipment (Sale),-13,WH_B
INV_PRPR04250,P036,2023-01-05,Receipt (Production),143,WH_B
INV_SOSO14495,P038,2023-01-05,Shipment (Sale),-19,WH_A
INV_PRPR06365,P043,2023-01-05,Receipt (Production),249,WH_B
INV_SOSO07368,P045,2023-01-05,Shipment (Sale),-16,WH_A
INV_SOSO01005,P052,2023-01-05,Shipment (Sale),-14,WH_A
INV_PRPR02470,P055,2023-01-05,Receipt (Production),94,WH_B
INV_PRPR07648,P057,2023-01-05,Receipt (Production),51,WH_B
INV_SOSO16636,P059,2023-01-05,Shipment (Sale),-2,WH_A
INV_PRPR06781,P065,2023-01-05,Receipt (Production),110,WH_A
INV_PRPR04007,P066,2023-01-05,Receipt (Production),472,WH_A
INV_SOSO11725,P068,2023-01-05,Shipment (Sale),-6,WH_B
INV_SOSO15015,P073,2023-01-05,Shipment (Sale),-1,WH_A
INV_SOSO10558,P078,2023-01-05,Shipment (Sale),-3,WH_A
INV_SOSO17660,P079,2023-01-05,Shipment (Sale),-9,WH_A
INV_SOSO11122,P082,2023-01-05,Shipment (Sale),-16,WH_A
INV_SOSO18917,P082,2023-01-05,Shipment (Sale),-18,WH_A
INV_SOSO04114,P084,2023-01-05,Shipment (Sale),-9,WH_B
INV_SOSO03619,P085,2023-01-05,Shipment (Sale),-4,WH_A
INV_SOSO11083,P085,2023-01-05,Shipment (Sale),-2,WH_A
INV_SOSO16903,P086,2023-01-05,Shipment (Sale),-10,WH_A
INV_PRPR06105,P088,2023-01-05,Receipt (Production),491,WH_A
INV_SOSO02773,P089,2023-01-05,Shipment (Sale),-1,WH_B
INV_SOSO16087,P090,2023-01-05,Shipment (Sale),-5,WH_A
INV_SOSO03273,P005,2023-01-06,Shipment (Sale),-14,WH_B
INV_SOSO05778,P009,2023-01-06,Shipment (Sale),-1,WH_A
INV_SOSO10985,P010,2023-01-06,Shipment (Sale),-7,WH_A
INV_SOSO05566,P012,2023-01-06,Shipment (Sale),-2,WH_A
INV_SOSO02265,P017,2023-01-06,Shipment (Sale),-9,WH_A
INV_PRPR02614,P020,2023-01-06,Receipt (Production),478,WH_B
INV_SOSO10572,P023,2023-01-06,Shipment (Sale),-12,WH_A
INV_SOSO19398,P023,2023-01-06,Shipment (Sale),-8,WH_A
INV_SOSO02191,P028,2023-01-06,Shipment (Sale),-9,WH_B
INV_PRPR06184,P030,2023-01-06,Receipt (Production),271,WH_B
INV_PRPR03929,P031,2023-01-06,Receipt (Production),343,WH_A
INV_PRPR07958,P031,2023-01-06,Receipt (Production),420,WH_A
INV_SOSO16586,P033,2023-01-06,Shipment (Sale),-17,WH_B
INV_SOSO13906,P035,2023-01-06,Shipment (Sale),-13,WH_B
INV_SOSO01672,P036,2023-01-06,Shipment (Sale),-12,WH_A
INV_SOSO05308,P044,2023-01-06,Shipment (Sale),-17,WH_B
INV_PRPR03097,P058,2023-01-06,Receipt (Production),160,WH_A
INV_PRPR08420,P061,2023-01-06,Receipt (Production),337,WH_B
INV_PRPR05458,P064,2023-01-06,Receipt (Production),109,WH_B
INV_SOSO16268,P064,2023-01-06,Shipment (Sale),-2,WH_B
INV_PRPR00100,P070,2023-01-06,Receipt (Production),176,WH_A
INV_SOSO04462,P072,2023-01-06,Shipment (Sale),-9,WH_B
INV_SOSO05239,P075,2023-01-06,Shipment (Sale),-10,WH_A
INV_PRPR04693,P083,2023-01-06,Receipt (Production),429,WH_B
INV_PRPR08902,P085,2023-01-06,Receipt (Production),80,WH_A
INV_SOSO18816,P086,2023-01-06,Shipment (Sale),-10,WH_B
INV_PRPR05232,P092,2023-01-06,Receipt (Production),457,WH_A
INV_PRPR05253,P093,2023-01-06,Receipt (Production),124,WH_A
INV_SOSO05126,P095,2023-01-06,Shipment (Sale),-1,WH_B
INV_SOSO00695,P096,2023-01-06,Shipment (Sale),-16,WH_A
INV_SOSO17837,P100,2023-01-06,Shipment (Sale),-5,WH_A
INV_PRPR02289,P005,2023-01-07,Receipt (Production),147,WH_A
INV_SOSO14931,P008,2023-01-07,Shipment (Sale),-14,WH_B
INV_SOSO13408,P009,2023-01-07,Shipment (Sale),-2,WH_A
INV_SOSO13464,P010,2023-01-07,Shipment (Sale),-12,WH_A
INV_SOSO06251,P013,2023-01-07,Shipment (Sale),-14,WH_A
INV_PRPR06007,P017,2023-01-07,Receipt (Production),472,WH_B
INV_SOSO07608,P022,2023-01-07,Shipment (Sale),-5,WH_A
INV_SOSO15683,P023,2023-01-07,Shipment (Sale),-6,WH_A
INV_SOSO04464,P029,2023-01-07,Shipment (Sale),-14,WH_A
INV_SOSO06085,P031,2023-01-07,Shipment (Sale),-17,WH_B
INV_SOSO04721,P033,2023-01-07,Shipment (Sale),-15,WH_A
INV_SOSO18280,P035,2023-01-07,Shipment (Sale),-14,WH_B
INV_PRPR03817,P038,2023-01-07,Receipt (Production),157,WH_B
INV_SOSO12863,P044,2023-01-07,Shipment (Sale),-17,WH_B
INV_PRPR03835,P047,2023-01-07,Receipt (Production),281,WH_B
INV_SOSO08009,P047,2023-01-07,Shipment (Sale),-4,WH_A
INV_PRPR06975,P051,2023-01-07,Receipt (Production),265,WH_A
INV_SOSO10412,P052,2023-01-07,Shipment (Sale),-18,WH_B
INV_SOSO12271,P053,2023-01-07,Shipment (Sale),-9,WH_B
INV_PRPR08583,P056,2023-01-07,Receipt (Production),291,WH_A
INV_PRPR09505,P058,2023-01-07,Receipt (Production),162,WH_B
INV_PRPR03802,P059,2023-01-07,Receipt (Production),142,WH_A
INV_SOSO01678,P061,2023-01-07,Shipment (Sale),-4,WH_B
INV_SOSO19262,P064,2023-01-07,Shipment (Sale),-1,WH_A
INV_SOSO04680,P068,2023-01-07,Shipment (Sale),-19,WH_A
INV_SOSO16755,P068,2023-01-07,Shipment (Sale),-15,WH_A
INV_SOSO15756,P069,2023-01-07,Shipment (Sale),-8,WH_B
INV_SOSO01844,P070,2023-01-07,Shipment (Sale),-6,WH_B
INV_PRPR05085,P083,2023-01-07,Receipt (Production),199,WH_B
INV_SOSO13291,P088,2023-01-07,Shipment (Sale),-4,WH_A
INV_SOSO02061,P089,2023-01-07,Shipment (Sale),-6,WH_A
INV_SOSO18178,P089,2023-01-07,Shipment (Sale),-18,WH_A
INV_PRPR05302,P090,2023-01-07,Receipt (Production),304,WH_B
INV_PRPR06178,P091,2023-01-07,Receipt (Production),295,WH_A
INV_SOSO08505,P092,2023-01-07,Shipment (Sale),-13,WH_A
INV_SOSO14219,P096,2023-01-07,Shipment (Sale),-8,WH_B
INV_SOSO17247,P100,2023-01-07,Shipment (Sale),-7,WH_A
INV_PRPR06875,P001,2023-01-08,Receipt (Production),436,WH_B
INV_PRPR05397,P003,2023-01-08,Receipt (Production),240,WH_A
INV_PRPR03158,P005,2023-01-08,Receipt (Production),126,WH_B
INV_SOSO19112,P010,2023-01-08,Shipment (Sale),-19,WH_A
INV_SOSO12077,P013,2023-01-08,Shipment (Sale),-3,WH_B
INV_PRPR02040,P018,2023-01-08,Receipt (Production),485,WH_B
INV_SOSO03809,P019,2023-01-08,Shipment (Sale),-18,WH_B
INV_PRPR04227,P021,2023-01-08,Receipt (Production),327,WH_A
INV_SOSO09842,P021,2023-01-08,Shipment (Sale),-1,WH_B
INV_SOSO11040,P021,2023-01-08,Shipment (Sale),-3,WH_B
INV_SOSO02461,P023,2023-01-08,Shipment (Sale),-9,WH_B
INV_SOSO07327,P025,2023-01-08,Shipment (Sale),-1,WH_A
INV_SOSO08601,P026,2023-01-08,Shipment (Sale),-19,WH_A
INV_SOSO19408,P035,2023-01-08,Shipment (Sale),-13,WH_A
INV_SOSO05869,P039,2023-01-08,Shipment (Sale),-10,WH_B
INV_SOSO02714,P040,2023-01-08,Shipment (Sale),-3,WH_B
INV_PRPR01662,P043,2023-01-08,Receipt (Production),397,WH_B
INV_SOSO15914,P043,2023-01-08,Shipment (Sale),-12,WH_A
INV_PRPR06405,P046,2023-01-08,Receipt (Production),171,WH_A
INV_SOSO18474,P052,2023-01-08,Shipment (Sale),-9,WH_A
INV_PRPR07376,P053,2023-01-08,Receipt (Production),191,WH_A
INV_SOSO07588,P053,2023-01-08,Shipment (Sale),-8,WH_A
INV_SOSO14328,P059,2023-01-08,Shipment (Sale),-16,WH_B
INV_PRPR08495,P060,2023-01-08,Receipt (Production),185,WH_B
INV_SOSO11779,P061,2023-01-08,Shipment (Sale),-10,WH_B
